WORD,POS_TAG,COUNT
옛날,NNG,7275
이랑,JC,6033
강아지,NNG,2908
네,IC,19689
되게,MAG,7991
중요하,VA,17204
머리,NNG,5726
건강,NNG,6906
얼마,NNG,15785
우리나라,NNG,8338
어,IC,11638
키우,VV,12093
기분,NNG,15243
딱,MAG,11971
터,NNB,14003
부분,NNG,11744
앉,VV,7394
위하,VV,15531
일단,MAG,13866
못하,VV,19097
삼,NR,9228
별로,MAG,10351
아야지,EF,6344
가족,NNG,6891
떨어지,VV,8533
아무래도,MAG,16929
조금,NNG,8903
맨날,MAG,7034
오늘,NNG,8695
걷,VV,7412
누,NP,8563
죽,VV,9593
말,VV,12441
먼저,MAG,7703
냄새,NNG,4477
남,VV,10763
팔,VV,12301
기억,NNG,12049
필요하,VA,15255
병원,NNG,5011
하루,NNG,12701
어떡하,VV,3042
쉬,VV,8037
어리,VA,7583
마다,JX,10901
커피,NNG,17143
걱정,NNG,11571
걸리,VV,7931
올라가,VV,3339
이야기,NNG,13222
빠지,VV,7510
작,VA,6424
세,MMN,7723
생일,NNG,1012
명,NNB,9739
십,NR,8474
으시,EP,14562
나,VX,10113
선물,NNG,4309
불,VV,2639
따르,VV,10697
바꾸,VV,11189
사실,MAG,13957
던데,EC,15638
나중,NNG,5167
ㄹ로,JKB,9533
여러,MMN,9786
시,NNB,7146
길,NNG,3487
보내,VV,8765
밤,NNG,8736
이름,NNG,7128
시작하,VV,11484
느끼,VV,11024
회사,NNG,13707
반,NNG,4481
누구,NP,9552
잠,NNG,12559
얘기하,VV,7613
가장,MAG,13891
재미있,VA,3627
바로,MAG,12605
쪽,NNB,3909
빼,VV,5217
한,MMA,3181
이나,JX,12374
바다,NNG,3752
걔,NP,2906
닦,VV,6193
안,NNG,10351
일어나,VV,6811
ㄹ지,EF,7300
기다리,VV,6220
고양이,NNG,7838
예전,NNG,11808
혼자,MAG,7263
버리,VV,9271
밖에,JX,6225
그리,VV,3124
시키,VV,8079
비,NNG,4372
여자,NNG,9687
둘,NR,4570
려면,EC,8428
약,NNG,3770
을래,EF,314
굉장히,MAG,3786
물어보,VV,6769
자주,MAG,8720
거나,EC,12001
살,NNG,6796
가,VX,6362
도움,NNG,13322
언제,MAG,6571
네,NP,9013
그,VA,11181
두,VX,14077
얼굴,NNG,8542
열심히,MAG,5676
내리,VV,5109
신경,NNG,9078
못하,VX,10725
가지,NNB,8003
짓,VV,7940
버리,VX,5399
위,NNG,7127
챙기,VV,7580
주말,NNG,7103
학원,NNG,1536
울,VV,2727
옆,NNG,4218
느낌,NNG,10852
여름,NNG,4781
이상하,VA,5833
이,NR,3567
끝나,VV,3864
술,NNG,9357
높,VA,8547
속,NNG,8690
낫,VA,10187
나쁘,VA,8537
이모,NNG,545
산,NNG,3122
고기,NNG,7127
이제,NNG,8674
삼촌,NNG,307
거의,MAG,7315
이러,VV,5605
오,NR,5621
알리,VV,10684
우유,NNG,1771
어느,MMD,8431
꽃,NNG,2373
자,EC,1173
들어오,VV,7425
다리,NNG,2928
없이,MAG,9744
후,NNG,9051
화장실,NNG,6045
항상,MAG,4451
와,JKB,8549
오래,MAG,7249
일,NNB,5127
남자,NNG,7859
라도,JX,9453
맞추,VV,6450
비싸,VA,9234
효과,NNG,12930
그러게,IC,14188
게임,NNG,2744
길,VA,4326
살,NNB,3625
아니야,IC,6603
와,IC,12647
겨울,NNG,2986
늦,VA,5077
한번,NNG,14674
열,NR,6460
입,NNG,3861
빵,NNG,5987
싸,VV,2067
가끔,MAG,7937
야,JX,10686
긓,VA,9033
넘,VV,6426
고르,VV,9288
밖,NNG,4123
그,NP,12137
ㅁ,ETN,10086
편하,VA,6949
더라구,EF,12834
들어보,VV,9151
이유,NNG,11633
